ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET
7048,1,4,9,36,1,212229,201509
28381,1,4,9,36,0,6296,32836
24854,1,4,9,38,2,215527,232728
86,1,4,9,39,1,215527,165123
48332,1,4,9,39,0,215527,5661
17386,1,4,9,40,1,2732,110502
31486,1,4,9,40,0,138089,2165
4127,1,4,9,41,1,100535,218333
14987,1,4,9,41,0,9419,6927
19003,1,4,9,42,1,9601,71676
2971,1,4,9,43,1,199231,110502
25535,1,4,9,43,0,151337,10658
37266,1,4,9,43,0,154471,4578
11505,1,4,9,44,1,241157,173144
42271,1,4,9,45,1,215527,153127
6129,1,4,9,47,2,12554,201509
18029,1,4,9,47,0,1491,147781
35347,1,4,9,47,0,238989,239301
20508,1,4,9,48,1,6317,6338
2033,1,4,9,49,1,216749,216487
45413,1,4,9,49,0,7325,212005
54538,1,4,9,49,0,166740,47270
56225,1,4,9,49,0,135780,235120
6640,1,4,9,50,1,216749,4631
35938,1,4,9,51,1,173403,168130
14154,1,4,9,52,1,827,218678
29596,1,4,9,52,0,233786,175877
23683,1,4,9,53,1,158603,13437
40704,1,4,9,54,1,137502,167154
47438,1,4,9,54,0,163707,233446
47975,1,4,9,54,0,138037,216749
8162,1,4,9,55,1,215527,240307
39197,1,4,9,55,0,1516,215527
50694,1,4,9,55,0,226705,4197
51685,1,4,9,55,0,153342,230288
53094,1,4,9,55,0,213037,810
34688,1,4,9,56,1,212005,178082
49816,1,4,9,56,0,199729,158839
19900,1,4,9,57,1,151337,153164
20735,1,4,9,58,1,132923,158839
32526,1,4,9,58,0,167883,137272
56309,1,4,9,58,0,230069,235705
17657,1,4,9,59,1,803,216749
32796,1,4,9,59,0,142252,157897
26307,1,4,10,1,2,11699,31284
25878,1,4,10,3,2,222410,166889
46430,1,4,10,3,0,104088,200373
55826,1,4,10,3,0,219517,173138
32616,1,4,10,4,1,17669,177987
2335,1,4,10,5,1,215527,213037
45185,1,4,10,8,3,216749,147395
45414,1,4,10,8,0,11550,191436
3985,1,4,10,9,1,224915,162328
15328,1,4,10,10,1,215527,138286
26510,1,4,10,11,1,215527,9775
35060,1,4,10,11,0,215527,138286
39391,1,4,10,11,0,208759,110502
5268,1,4,10,12,1,215527,13437
10622,1,4,10,12,0,233837,1019
49017,1,4,10,12,0,215527,213419
8047,1,4,10,13,1,6371,165173
13262,1,4,10,13,0,234982,217841
28232,1,4,10,13,0,11699,151071
56226,1,4,10,13,0,153161,136483
14245,1,4,10,14,1,166531,166706
14949,1,4,10,14,0,178070,239754
18084,1,4,10,14,0,155043,5652
42592,1,4,10,14,0,62428,167984
17387,1,4,10,15,1,110502,166465
21039,1,4,10,15,0,215527,222408
35348,1,4,10,15,0,153291,215527
8251,1,4,10,17,2,110502,212922
43859,1,4,10,17,0,6633,157905
2576,1,4,10,18,1,215527,151389
20509,1,4,10,18,0,914,212229
29333,1,4,10,18,0,215527,11699
42194,1,4,10,18,0,167629,199487
47439,1,4,10,18,0,78649,9983
57159,1,4,10,18,0,215527,125323
374,1,4,10,19,1,6576,215527
11436,1,4,10,21,2,212005,1439
6130,1,4,10,23,2,215527,218917
10756,1,4,10,23,0,166861,11699
12507,1,4,10,23,0,150952,170486
33040,1,4,10,23,0,239396,2333
40282,1,4,10,23,0,1835,218666
14569,1,4,10,24,1,216749,165573
53424,1,4,10,24,0,22781,224630
3368,1,4,10,25,1,215527,148203
39819,1,4,10,25,0,147627,5568
9039,1,4,10,26,1,165140,146965
40983,1,4,10,26,0,240307,11616
55008,1,4,10,26,0,1954,5503
4360,1,4,10,27,1,175368,153363
6715,1,4,10,27,0,136944,198514
41698,1,4,10,27,0,153348,110502
51100,1,4,10,27,0,9983,78646
52973,1,4,10,27,0,22781,2707
16419,1,4,10,28,1,226326,215527
19005,1,4,10,28,0,2732,167750
21255,1,4,10,28,0,166702,226394
34552,1,4,10,28,0,151792,222078
53095,1,4,10,28,0,4770,157908
7050,1,4,10,30,2,162328,160451
9842,1,4,10,32,2,1511,216753
33087,1,4,10,32,0,215527,173349
7338,1,4,10,33,1,882,137034
32797,1,4,10,33,0,240942,163710
47977,1,4,10,33,0,153027,206242
35780,1,4,10,34,1,2144,159376
6471,1,4,10,36,2,158645,201509
8723,1,4,10,37,1,2337,12974
1470,1,4,10,38,1,6865,120912
12790,1,4,10,38,0,5739,5599
14033,1,4,10,38,0,827,218678
46001,1,4,10,38,0,153212,9797
38647,1,4,10,39,1,39996,216545
29763,1,4,10,40,1,231839,107700
37744,1,4,10,40,0,204205,153348
1141,1,4,10,41,1,239301,173185
22950,1,4,10,42,1,166699,132824
9300,1,4,10,43,1,141679,158318
39260,1,4,10,43,0,191438,161890
7566,1,4,10,44,1,137575,134552
35978,1,4,10,45,1,167629,219709
25537,1,4,10,46,1,215527,216753
30130,1,4,10,48,2,104089,163707
52604,1,4,10,48,0,209718,213036
44558,1,4,10,52,4,234128,10918
31488,1,4,10,53,1,167641,199229
52141,1,4,10,54,1,162328,32207
26151,1,4,10,55,1,134803,222410
